Title,Date,Rating,Review
"Over-chilled white wine",2025-07-11,2,"White wine was served over-chilled which flattened the aromatics. Food was adequate and cocktails well made. Small service details like temperature matter for the overall experience."
"Very good for after-work drinks",2025-07-14,4,"A popular after-work spot with a lively bar and excellent cocktail offerings. Small plates are perfect for sharing and the staff are efficient during peak hours."
"Confusing reservation policy",2025-07-17,3,"Reservation policy seemed unclear which led to a small misunderstanding at arrival. Food and cocktails were enjoyable once seated. Better communication on reservations advised."
"Elegant holiday menu",2025-07-20,5,"Tried their holiday menu and it was elegant with thoughtful pairings and excellent cocktail suggestions. Staff managed the busy night gracefully. A festive and refined experience."
"Service was brisk",2025-07-23,3,"Service felt brisk and businesslike rather than warm. Food was solid and cocktails beautiful, but the atmosphere lacked a bit of hospitality warmth that would elevate it."
"Wonderful for small celebrations",2025-07-26,5,"Booked a small celebration and everything went smoothly — attentive staff, lovely cocktail recommendations, and a special dessert presentation. Highly recommended for intimate events."
"Too many menu changes",2025-07-29,2,"Frequent menu changes made it hard to recommend dishes reliably; favorite items disappear quickly. Cocktails are creative, but menu stability would help build regulars."
"Comfortable couch seating",2025-08-01,4,"Couch seating in the lounge area is comfortable for a relaxed evening of cocktails and small plates. Food was satisfying and service attentive. Great casual vibe."
"Cold duck confit",2025-08-04,2,"Duck confit arrived colder than expected and lacked the crisp skin it usually has. Cocktails were well executed. Kitchen should ensure proper plating temperature for meat dishes."
"Excellent palette-cleansing sorbet",2025-08-07,5,"Sorbet served between courses was a brilliant, palate-cleansing touch and elevated the tasting experience. Cocktails and mains were precise and flavorful. Creative and tasteful meal progression."
"Limited gluten-free options",2025-08-10,3,"Gluten-free options are available but limited compared to the full menu. Staff were helpful and accommodating though. Cocktails and dessert options for gluten-free diners could expand."
"Good neighborhood find",2025-08-13,4,"A great neighborhood find with thoughtful cocktails and a friendly staff. Mains are consistently good and the atmosphere suits casual and slightly more formal evenings alike."
"Unfinished sauce",2025-08-16,2,"Sauce for the main felt unfinished and thin, which left the dish unbalanced. Cocktails were delightful and the dessert redeemed the evening somewhat. Kitchen needs a more careful finish."
"Outstanding scallops",2025-08-19,5,"Scallops were seared perfectly with a lovely sauce and sides. Cocktails matched the dish and staff recommended pairings confidently. Truly excellent cookery."
"Staff seemed short-handed",2025-08-22,3,"Staff seemed short-handed which caused slow service and missed refills. Food still tasted good and cocktails were made well. Hope they hire extra help for busy nights."
"Great for anniversaries",2025-08-25,5,"Returned for another anniversary and again had a wonderful experience. Staff remembered preferences and the cocktails were artful. A consistently romantic spot."
"Oddly warm room",2025-08-28,2,"Dining room was uncomfortably warm which made the meal less enjoyable. Food and cocktails were fine but climate control needs attention. Not ideal on warmer days."
"Fantastic for cocktail education",2025-09-01,5,"Bartenders are generous with knowledge and explained the components and history behind cocktails we ordered. Food paired well and staff were welcoming. Educational and delicious."
"Petty charges on bill",2025-09-04,2,"Small unexpected charges appeared on the final bill which management had to correct. Food and cocktails were pleasant but billing transparency must improve."
"Brilliant Sunday pastries",2025-09-07,5,"Sunday pastries are outstanding — flaky, buttery, and perfectly baked. Cocktails were an unexpected treat during brunch. A delightful start to the day."
"Too much bustle",2025-09-10,3,"The space tends to bustle and can feel hectic when fully booked. Food and cocktails are fine but the high energy may not suit a quiet, intimate dinner."
"Flawless service and timing",2025-09-13,5,"Service timing was flawless with perfect pacing between courses. Cocktails were crafted with subtlety and the meal felt effortless. Superb hospitality and execution."
"Limited late-night menu",2025-09-16,3,"Late-night food menu is limited which restricts options after a certain hour. Cocktails remain plentiful and excellent, but the kitchen options narrow significantly."
"Warm butter and fresh baguette",2025-09-19,5,"Warm butter and a fresh baguette made an exceptional start. Cocktails were nuanced and the mains thoughtfully plated. Classic touches done right."
"Uninspired main course",2025-09-22,2,"Main course lacked imagination and felt safe. Cocktails were inventive, but the kitchen's creativity didn't match the bar. Would like to see bolder culinary choices."
"Good service for gluten-free",2025-09-25,4,"Staff were very accommodating and knowledgeable about gluten-free options. Cocktails and desserts had safe selections too. Felt secure dining with dietary restrictions."
"Interrupted by loud group",2025-09-28,3,"A very loud group in the corner disrupted our conversation and staff were slow to address it. Food was well-prepared and cocktails strong, but the dining experience was affected."
"Exceptional maître d' touch",2025-10-01,5,"Maître d' handled our anniversary with grace and arranged a special table. Cocktails and food were excellent and staff made the night unforgettable. Highly recommended for celebrations."
"Strange menu typos",2025-10-04,2,"Menu had several typos and unclear descriptions which detracted from the experience. Food tasted fine, but attention to detail in print would improve perception."
"Great pairing suggestions",2025-10-07,5,"Staff provided excellent pairing suggestions for both cocktails and wine. The recommended combos elevated the meal and showcased knowledge across the team. Impressive service."
"Limited parking options",2025-10-10,3,"Parking is limited nearby which can make visits less convenient. Food and cocktails are top quality but access logistics are a drawback for some guests."
"Comfortable winter dining",2025-10-13,4,"Warm lighting and cozy dishes make it a wonderful winter dining spot. Cocktails include comforting spices and pair nicely with seasonal plates. Very pleasant experience."
"Server misplaced order",2025-10-16,2,"There was a server error which led to a misplaced course and a long wait for the correct dish. Management apologized and compensated, but the evening suffered. Cocktails were good, though."
"Top-notch cocktail classics",2025-10-19,5,"Classic cocktails are executed at a high level, with superb technique and balance. Food aligns with the bar’s quality. An excellent place for cocktail purists."
"Too many single-use garnishes",2025-10-22,3,"Some cocktails came with single-use garnishes that felt wasteful and unnecessary. Drinks tasted great but sustainability-conscious choices would be appreciated. Food was tasty overall."
"Fantastic prix-fixe value",2025-10-25,5,"Prix-fixe menu offered exceptional value with a delicious starter, a well-portioned main, and a delightful dessert. Cocktails available a la carte were excellent. A great deal."
"Service lag on dessert",2025-10-28,3,"Dessert service lagged noticeably which left a strange gap in the meal. Food and cocktails were otherwise excellent. Pacing between courses needs finetuning."
"Warm, knowledgeable staff",2025-10-31,4,"Staff were warm and clearly knowledgeable about both the menu and cocktails. Food demonstrated good technical skill and flavor balance. A pleasant and professional dining experience."
"Too formal for families",2025-11-03,2,"The atmosphere felt a bit too formal for families and children. Service was polite but rigid. Food and cocktails remained high quality, but the vibe leans adult-oriented."
"Excellent seasonal garnish",2025-11-06,5,"Seasonal garnishes in cocktails added subtle but memorable flavor notes. Food was in harmony with the bar program and service showed true care. Lovely evening."
"Limited outdoor seating",2025-11-09,3,"Outdoor seating is limited and fills quickly on pleasant evenings. Food and cocktails inside were excellent; try to reserve outdoor spots if you want al fresco dining."
"Wonderful staff recommendations",2025-11-12,5,"Staff consistently offered spot-on recommendations that improved the meal. Cocktails were inventive and the desserts were divine. Attentive and knowledgeable service throughout."
"Long gap between courses",2025-11-15,2,"We experienced a long gap between main and dessert which cooled the mood. Cocktails were well made but the pacing hurt the flow. Kitchen timing needs improvement."
"Excellent for solo workers",2025-11-18,4,"Good spot for solo diners working with laptops — friendly staff, reliable coffee, and a relaxed vibe. Cocktails available if staying later in the day."
"Overly sweet house cocktail",2025-11-21,3,"House cocktail leaned too sweet for my taste and overshadowed the spirit. Food and service were competent and pleasant. Bartenders can adjust sweetness upon request."
"Great neighborhood gathering place",2025-11-24,5,"Feels like a true neighborhood gathering place with welcoming staff, delightful cocktails, and a menu that suits many tastes. Consistently pleasant and reliable."
"Dish arrived undercooked",2025-11-27,2,"One dish came undercooked and needed to be sent back. Staff handled it professionally but the initial miss spoiled the beginning of the meal. Cocktails were good."
"Charming staff and decor",2025-11-30,4,"Charming decor and staff who clearly care about the guest experience. Cocktails are creative and the kitchen does justice to French classics. A cozy gem."
"Limited vegetarian entrées",2025-12-03,3,"Vegetarian entrées are present but limited. Starters and sides are more plentiful for vegetarians. Cocktails and wines are excellent. Broader vegetarian mains would be welcome."
"Polished service and timing",2025-12-06,5,"Polished service and thoughtful timing between courses made for a delightful meal. Cocktails were inventive and the staff recommended perfect pairings. A refined evening."
"Drinks cold but diluted",2025-12-09,2,"Some cocktails arrived cold but slightly diluted, suggesting a timing issue in preparation. Food quality remained good. Bartenders should pay attention to dilution and serving timing."
"Bright lunchtime atmosphere",2025-12-12,4,"Bright midday sunlight makes the dining room cheerful and the lunch menu is satisfying. Cocktails are lighter and refreshing for daytime dining. A cheerful option for lunch."
"Music volume inconsistent",2025-12-15,3,"Music volume varied wildly during our visit which made parts of the meal awkward. Food and cocktails were enjoyable but the sound levels require attention for guest comfort."
"Stellar roast vegetables",2025-12-18,5,"Roast vegetables were perfectly caramelized and seasoned — a highlight of the menu. Cocktails were balanced and highly complementary. A great spot for vegetable-forward dining."
"Check split confusion",2025-12-21,2,"Staff had difficulty splitting the check which led to awkward delays at the end of the meal. Food and drinks were good, but checkout process needs smoothing for groups."
"Great for rehearsal meals",2025-12-24,4,"Ideal for rehearsal meals with good group menus and accommodating staff. Cocktails and wines are plentiful and the kitchen handles group orders competently. Good for gatherings."
"Overall polished experience",2025-12-27,5,"From cocktails to petit fours the entire meal was polished and thoughtfully executed. Servers were knowledgeable and the chef displayed clear skill. A top-quality dining experience."
"Slow to open champagne",2025-12-30,3,"Took an unusually long time to open a bottle of champagne which cooled our celebratory spirit. Food and cocktails were fine but service timing could be sharper."
"Charming and delicious",2025-01-06,5,"Charming interior with delicious mains and a creative cocktail list. Staff were welcoming and the pacing of the meal was excellent. A delightful find."
"Average for the price",2025-01-09,3,"Food was average relative to the prices charged. Cocktails were a bright spot, but the overall value proposition could be improved. Service was competent."
"Lovely aperitif flight",2025-01-13,5,"Aperitif flight introduced us to several delightful drinks and paired nicely with small plates. The kitchen matched the bar's creativity well. Outstanding evening."
"Underwhelming main course",2025-01-16,2,"Main course lacked depth and felt hastily composed. Cocktails were enjoyable but couldn't fully atone for an underwhelming main. Kitchen needs more consistency."
"Great for a quiet dinner",2025-01-19,4,"Quiet atmosphere during weekdays makes this a great spot for an intimate dinner. Cocktails are subtle and food is carefully plated. Enjoyable and relaxing."
"Menu text too tiny",2025-01-22,3,"Menu text was tiny and hard to read which made choosing difficult at the table. Food and drinks were solid once ordered, but please increase font size on menus."
"Excellent shareable platters",2025-01-25,5,"Shareable platters are plentiful and well balanced — perfect for groups. Cocktails and wines pair nicely, and service accommodated our group seamlessly. Highly recommended."
"Long wait for water refill",2025-01-28,2,"We had to ask multiple times for water refills which is a small but noticeable oversight. Food and cocktails were tasty, but basic attentiveness needs improvement."
"Happy hour value",2025-02-04,4,"Happy hour offers great value on cocktails and snacks. The crowd is lively and the staff attentive. A good choice for after-work socializing."
"Some dishes too salty",2025-02-08,2,"Several dishes leaned too salty and masked subtler flavors. Cocktails were well balanced and the service attempted to address concerns. Kitchen should reduce salt usage."
"Impressive cocktail technique",2025-02-13,5,"Bartenders demonstrated impressive technique and balance in every cocktail. Food matched the bar's precision and the pacing was excellent. A beautifully executed meal."
"Limited kid-friendly mains",2025-02-19,3,"Kids' main options are limited which might be inconvenient for families with picky eaters. Adult menu is excellent and cocktails abundant, but family dining needs broader choices."
"Quick and comfortable lunch",2025-02-22,4,"Quick and comfortable lunch with friendly staff and a satisfying sandwich. Cocktail list is small at midday but available for a relaxed lunch drink. Good for a work break."
"Too many small plates",2025-02-25,3,"Menu heavy on small plates which is great for sharing, but not ideal if you want a single substantial main. Cocktails are excellent and portion planning helps if you want a fuller meal."
"Exquisite oyster service",2025-02-28,5,"Oyster service was flawless with perfect chilling and accompaniments. Cocktails were refined and the staff demonstrated deep product knowledge. Seafood lovers will be impressed."
"Table wobble problem",2025-03-03,2,"Table at our corner wobbled the entire dinner despite staff attempts to fix it. Food and cocktails were fine but the physical comfort issue detracted from the evening."
"Fantastic espresso martini",2025-03-06,5,"Espresso martini is one of the best I've had — smooth, balanced, and perfectly caffeinated. Food and service maintained high standards throughout the meal."
"Overly formal waitstaff",2025-03-09,3,"Waitstaff were polite but overly formal, making the atmosphere less relaxed than expected. Food and cocktails were excellent, but a warmer tone would improve hospitality."
"Consistent midweek food",2025-03-12,4,"Midweek meals are consistently well executed and the crowd is calmer. Cocktails are reliable and the staff are attentive. A dependable midweek choice."
"Disappointing amuse bouche",2025-03-15,2,"Amuse bouche felt like an afterthought and lacked flavor. Cocktails and later courses redeemed much of the meal, but the opening impression was poor."
"Nice for a casual date",2025-03-18,5,"Perfect for a casual date night — cozy, intimate, and the cocktails are a highlight. The main courses were flavorful and well presented. Very enjoyable evening."
"Menu lacked seafood variety",2025-03-21,3,"Expected more seafood variation on the menu. Cocktails and wines were excellent, but the limited seafood options might disappoint those seeking marine dishes."
"Outstanding chocolate tart",2025-03-24,5,"Chocolate tart was rich, silky, and perfectly balanced. Cocktails complemented the dessert wonderfully. Pastry kitchen is clearly talented and precise."
"Confusing shortage of glasses",2025-03-27,2,"Server mentioned a glassware shortage which made drink service slower than normal. Food and cocktails were otherwise excellent, but planning around glassware stock is crucial."
"Excellent seasonal cocktails",2025-03-30,4,"Seasonal cocktails are inventive and refreshing, especially in spring. Food showcased seasonal produce and the overall meal felt cohesive and well thought out."
"Too many staff changes",2025-04-02,3,"Noticed several staff changes which affected the consistency of service. Food quality remained relatively steady but the turnover shows in varying service styles."
"Lovely late-summer menu",2025-04-05,5,"Late-summer menu celebrated ripe produce and light preparations. Cocktails featured fresh herbs and citrus that complemented the plates perfectly. A delightful seasonal meal."
"Long bathroom line",2025-04-08,2,"Long line for the restroom during peak hours which affected comfort. Food was delicious and cocktails excellent, but facilities need better capacity or management."
"Impressive barware presentation",2025-04-11,5,"Barware and presentation were impeccable and added to the drinks' enjoyment. Food was equally detailed and the staff executed service with precision. Highly recommended."
"Small dessert portions",2025-04-14,3,"Dessert portions skimped on size considering the price point. Quality was high but portion sizing left us wanting more. Cocktails remained generous and balanced."
"Solid weekday special",2025-04-17,4,"Weekday special is a very affordable way to sample the menu with a small cocktail. Service is quicker during the week and ambiance relaxed. Worth checking out."
"Staff forgot our appetizer",2025-04-20,2,"Our appetizer was forgotten and brought out late after mains. Staff apologized and offered a discount, but the mistake affected the flow of the meal. Cocktails were good, though."
"Wonderful for girls' outings",2025-04-23,5,"Lovely spot for a girls' outing with shareable plates and imaginative cocktails. Service was animated and helpful. Great evening with friends."
"Menu felt repetitive",2025-04-26,3,"Menu felt repetitive compared to previous visits with fewer new items. Cocktails were still inventive and the service attentive. Hope to see more variety next season."
"Excellent bread service",2025-04-29,5,"Bread service with compound butter was exceptional and a delightful start. Cocktails were subtle and food followed with consistent excellence. Great attention to small pleasures."
"Confusion with bookings",2025-05-02,2,"Booking system caused confusion and our reservation wasn't in the system. Staff resolved it but the awkward start affected the night. Food and cocktails later were enjoyable."
"Great for an intimate meal",2025-05-05,4,"Ideal for an intimate meal with attentive staff and a cozy atmosphere. Cocktails are refined and mains are satisfying. A good option for quieter date nights."
"Over-salted fish",2025-05-08,2,"Fish course arrived overly salted which detracted from the delicate flavors. Cocktails were a highlight. Kitchen should measure salt more carefully before service."
"Warm, friendly service",2025-05-11,5,"Service was warm and genuinely friendly, offering great suggestions for both food and cocktails. The evening felt comfortable and well-paced. Wonderful hospitality."
"Long wait for takeout",2025-05-14,3,"Takeout order took longer than promised, which was inconvenient. Food quality remained good on arrival. Cocktails obviously not applicable, but the staff apologized."
"Elegant small plates",2025-05-17,4,"Small plates presented elegantly and with balanced flavors. Cocktails were complementary and not overpowering. A refined small-plates concept executed well."
"Menu changes frequently",2025-05-20,3,"Frequent menu changes mean favorites leave quickly; good for those who like variety but frustrating for regulars. Cocktails and service remain consistently high quality."
"Exceptional service recovery",2025-05-23,5,"We had an initial delay but staff recovered beautifully with sincere apologies and a complimentary dish. The rest of the meal was superb and cocktails were brilliant."
"Unclear allergy handling",2025-05-26,2,"Staff seemed unsure how to handle a nut allergy which made the meal stressful. Food quality was good but kitchen protocols for allergies need tightening."
"Great for leisurely dinners",2025-05-29,4,"Perfect for a leisurely dinner with relaxed timing and excellent cocktails. Food is refined and staff attentive. A calming place to spend an evening."
"Too many courses for closure",2025-06-01,3,"Tasting menu felt overly long with too many small courses leaving little time to appreciate each. Cocktails were inventive and wine pairings helpful, though pacing could be improved."
"Stellar charcuterie selection",2025-06-04,5,"Charcuterie selection was varied and expertly curated. Cocktails and bread complimented the board perfectly. A great start to any meal here."
"Overly chilly dining room",2025-06-07,2,"Dining room was uncomfortably chilly which detracted from comfort. Blankets would be a nice touch. Food and cocktails remained good but the temperature unpleasant."
"Consistent midweek quality",2025-06-10,4,"Midweek visits consistently deliver quality food, restrained cocktails, and friendly service. A dependable choice when you want a solid meal without fuss."
"Limited vegan desserts",2025-06-13,3,"Vegan dessert options were scarce. Main and starters had vegan choices, but the pastry selection needs expansion to accommodate vegans better. Cocktails still plentiful."
"Wonderful for lunch meetings",2025-06-16,5,"Quiet and professional atmosphere for lunch meetings with efficient service and a good prix-fixe. Cocktails are available for more casual midday meetings. Very practical."
"Rushed seating turnover",2025-06-19,2,"Staff seemed focused on quick table turnover which made the experience feel hurried. Food was decent and cocktails well made, but the push to clear tables undermines the dining pleasure."
"Great for craft cocktails",2025-06-22,5,"Craft cocktails are the real draw here — precise, thoughtful, and delicious. Food complemented the drinks expertly. A top choice for cocktail enthusiasts."
"Small bar but cozy",2025-06-25,4,"Bar area is small but cozy and perfect for a few drinks and a shared plate. Cocktails are imaginative and service is warm. Good neighborhood gem."
"Dish came out late",2025-06-28,3,"One of our dishes arrived much later than the others which disrupted the flow. Staff apologized and tried to make it right with a complimentary item. Cocktails remained enjoyable."
"Excellent for anniversaries",2025-07-01,5,"Booked for an anniversary and the staff made it special with thoughtful touches and impeccable service. Cocktails and mains were top-notch. Highly recommend for milestones."
"Unbalanced menu prices",2025-07-04,2,"Some menu prices seemed disproportionate to portion sizes which made the visit feel expensive. Cocktails were excellent but value for food needs reassessment."
"Lovely late-night cocktails",2025-07-07,4,"Late-night cocktail selection is strong and bartenders make creative suggestions. Small plates available and the service stays friendly even late. A great nightcap spot."
